timestamp,tracker,status,std_x,std_y
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.12,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.22,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.31,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.38,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.45,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.50,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.56,0.00
2025-06-26 11:12:03,zeinaaab,Concentre,1.58,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.63,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.63,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.67,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.66,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.69,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.67,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.69,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.65,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.66,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.60,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.61,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.42,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.41,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.28,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.26,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.08,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,1.04,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.79,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.72,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:04,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.00,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.36,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.79,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,0.85,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,1.08,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,1.12,0.00
2025-06-26 11:12:05,zeinaaab,Concentre,1.28,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.30,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.42,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.43,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.60,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.59,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.65,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.63,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.67,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.64,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.66,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.63,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.63,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.59,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.58,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.50,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.43,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.38,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.30,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.22,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.12,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:06,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:07,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:07,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:07,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:07,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:07,zeinaaab,Concentre,1.00,0.00
