name,emotion,timestamp
Inconnu,angry,2025-06-26 16:43:59
Inconnu,neutral,2025-06-26 16:44:00
Inconnu,angry,2025-06-26 16:44:00
Inconnu,neutral,2025-06-26 16:44:01
Inconnu,angry,2025-06-26 16:44:01
Inconnu,neutral,2025-06-26 16:44:02
Inconnu,angry,2025-06-26 16:44:02
Inconnu,happy,2025-06-26 16:44:03
Inconnu,angry,2025-06-26 16:44:03
Inconnu,neutral,2025-06-26 16:44:04
Inconnu,neutral,2025-06-26 16:44:04
Inconnu,neutral,2025-06-26 16:44:05
Inconnu,neutral,2025-06-26 16:44:05
Inconnu,neutral,2025-06-26 16:44:06
Inconnu,happy,2025-06-26 16:44:06
Inconnu,neutral,2025-06-26 16:44:07
Inconnu,happy,2025-06-26 16:44:07
Inconnu,neutral,2025-06-26 16:44:08
Inconnu,happy,2025-06-26 16:44:08
Inconnu,happy,2025-06-26 16:44:09
Inconnu,neutral,2025-06-26 16:44:09
Inconnu,neutral,2025-06-26 16:44:10
Inconnu,neutral,2025-06-26 16:44:10
Inconnu,happy,2025-06-26 16:44:11
Inconnu,surprise,2025-06-26 16:44:11
Inconnu,neutral,2025-06-26 16:44:12
Inconnu,happy,2025-06-26 16:44:12
Inconnu,happy,2025-06-26 16:44:13
Inconnu,happy,2025-06-26 16:44:13
Inconnu,surprise,2025-06-26 16:44:14
Inconnu,happy,2025-06-26 16:44:14
Inconnu,sad,2025-06-26 16:44:15
Inconnu,neutral,2025-06-26 16:44:15
Inconnu,neutral,2025-06-26 16:44:16
Inconnu,happy,2025-06-26 16:44:16
Inconnu,neutral,2025-06-26 16:44:17
Inconnu,neutral,2025-06-26 16:44:17
Inconnu,happy,2025-06-26 16:44:18
Inconnu,happy,2025-06-26 16:44:18
Inconnu,happy,2025-06-26 16:44:19
Inconnu,fear,2025-06-26 16:44:19
Inconnu,neutral,2025-06-26 16:44:20
Inconnu,neutral,2025-06-26 16:44:20
Inconnu,neutral,2025-06-26 16:44:21
Inconnu,neutral,2025-06-26 16:44:21
Inconnu,neutral,2025-06-26 16:44:22
Inconnu,happy,2025-06-26 16:44:22
Inconnu,neutral,2025-06-26 16:44:23
Inconnu,happy,2025-06-26 16:44:23
Inconnu,neutral,2025-06-26 16:44:24
Inconnu,happy,2025-06-26 16:44:24
Inconnu,neutral,2025-06-26 16:44:25
Inconnu,happy,2025-06-26 16:44:25
Inconnu,neutral,2025-06-26 16:44:26
Inconnu,happy,2025-06-26 16:44:26
Inconnu,happy,2025-06-26 16:44:27
Inconnu,neutral,2025-06-26 16:44:27
Inconnu,neutral,2025-06-26 16:44:28
Inconnu,neutral,2025-06-26 16:44:28
Inconnu,neutral,2025-06-26 16:44:29
Inconnu,neutral,2025-06-26 16:44:29
Inconnu,happy,2025-06-26 16:44:30
Inconnu,happy,2025-06-26 16:44:30
Inconnu,neutral,2025-06-26 16:44:31
Inconnu,happy,2025-06-26 16:44:31
Inconnu,neutral,2025-06-26 16:44:32
Inconnu,neutral,2025-06-26 16:44:32
Inconnu,neutral,2025-06-26 16:44:33
Inconnu,sad,2025-06-26 16:44:33
Inconnu,neutral,2025-06-26 16:44:34
Inconnu,neutral,2025-06-26 16:44:34
Inconnu,neutral,2025-06-26 16:44:35
Inconnu,neutral,2025-06-26 16:44:35
Inconnu,neutral,2025-06-26 16:44:36
Inconnu,angry,2025-06-26 16:44:36
Inconnu,neutral,2025-06-26 16:44:37
Inconnu,neutral,2025-06-26 16:44:37
Inconnu,neutral,2025-06-26 16:44:38
Inconnu,sad,2025-06-26 16:44:38
Inconnu,neutral,2025-06-26 16:44:39
Inconnu,neutral,2025-06-26 16:44:39
Inconnu,neutral,2025-06-26 16:44:40
Inconnu,fear,2025-06-26 16:44:40
Inconnu,angry,2025-06-26 16:44:41
Inconnu,neutral,2025-06-26 16:44:42
Inconnu,neutral,2025-06-26 16:44:43
Inconnu,neutral,2025-06-26 16:44:43
Inconnu,neutral,2025-06-26 16:44:44
Inconnu,sad,2025-06-26 16:44:44
Inconnu,neutral,2025-06-26 16:44:45
Inconnu,sad,2025-06-26 16:44:45
Inconnu,neutral,2025-06-26 16:44:46
Inconnu,neutral,2025-06-26 16:44:46
Inconnu,neutral,2025-06-26 16:44:47
Inconnu,fear,2025-06-26 16:44:47
Inconnu,fear,2025-06-26 16:44:48
Inconnu,neutral,2025-06-26 16:44:48
Inconnu,neutral,2025-06-26 16:44:49
Inconnu,neutral,2025-06-26 16:44:49
Inconnu,fear,2025-06-26 16:44:50
Inconnu,neutral,2025-06-26 16:44:50
Inconnu,neutral,2025-06-26 16:44:51
Inconnu,neutral,2025-06-26 16:44:51
Inconnu,fear,2025-06-26 16:44:52
Inconnu,sad,2025-06-26 16:44:52
Inconnu,fear,2025-06-26 16:44:53
Inconnu,sad,2025-06-26 16:44:53
Inconnu,happy,2025-06-26 16:44:54
Inconnu,neutral,2025-06-26 16:44:54
Inconnu,neutral,2025-06-26 16:44:55
Inconnu,sad,2025-06-26 16:44:55
Inconnu,happy,2025-06-26 16:44:56
Inconnu,neutral,2025-06-26 16:44:56
Inconnu,neutral,2025-06-26 16:44:57
Inconnu,neutral,2025-06-26 16:44:57
Inconnu,surprise,2025-06-26 16:44:58
Inconnu,neutral,2025-06-26 16:44:58
Inconnu,neutral,2025-06-26 16:44:59
Inconnu,sad,2025-06-26 16:44:59
Inconnu,neutral,2025-06-26 16:45:00
Inconnu,neutral,2025-06-26 16:45:00
Inconnu,neutral,2025-06-26 16:45:01
Inconnu,sad,2025-06-26 16:45:01
Inconnu,surprise,2025-06-26 16:45:02
Inconnu,sad,2025-06-26 16:45:02
Inconnu,surprise,2025-06-26 16:45:03
Inconnu,angry,2025-06-26 16:45:03
Inconnu,neutral,2025-06-26 16:45:04
Inconnu,angry,2025-06-26 16:45:04
Inconnu,surprise,2025-06-26 16:45:05
Inconnu,sad,2025-06-26 16:45:05
Inconnu,surprise,2025-06-26 16:45:06
Inconnu,neutral,2025-06-26 16:45:06
Inconnu,surprise,2025-06-26 16:45:08
Inconnu,fear,2025-06-26 16:45:08
Inconnu,neutral,2025-06-26 16:45:09
Inconnu,fear,2025-06-26 16:45:09
Inconnu,neutral,2025-06-26 16:45:10
Inconnu,happy,2025-06-26 16:45:10
Inconnu,surprise,2025-06-26 16:45:11
Inconnu,sad,2025-06-26 16:45:11
Inconnu,neutral,2025-06-26 16:45:12
Inconnu,sad,2025-06-26 16:45:12
Inconnu,neutral,2025-06-26 16:45:13
Inconnu,sad,2025-06-26 16:45:13
Inconnu,happy,2025-06-26 16:45:14
Inconnu,neutral,2025-06-26 16:45:14
Inconnu,happy,2025-06-26 16:45:15
anyes_6.jpg,neutral,2025-06-26 16:53:01
anyes_6.jpg,happy,2025-06-26 16:53:02
anyes_6.jpg,neutral,2025-06-26 16:53:03
anyes_6.jpg,neutral,2025-06-26 16:53:04
anyes_6.jpg,neutral,2025-06-26 16:53:05
anyes_6.jpg,happy,2025-06-26 16:53:06
anyes_6.jpg,happy,2025-06-26 16:53:07
anyes_6.jpg,happy,2025-06-26 16:53:08
anyes_6.jpg,neutral,2025-06-26 16:53:09
anyes_6.jpg,neutral,2025-06-26 16:53:10
anyes_6.jpg,disgust,2025-06-26 16:53:11
anyes_6.jpg,sad,2025-06-26 16:53:12
anyes_6.jpg,happy,2025-06-26 16:53:13
anyes_6.jpg,fear,2025-06-26 16:53:14
anyes_6.jpg,neutral,2025-06-26 16:53:15
anyes_6.jpg,neutral,2025-06-26 16:53:16
anyes_6.jpg,neutral,2025-06-26 16:53:17
anyes_6.jpg,happy,2025-06-26 16:53:18
anyes_6.jpg,sad,2025-06-26 16:53:19
anyes_6.jpg,neutral,2025-06-26 16:53:20
anyes_6.jpg,neutral,2025-06-26 16:53:21
anyes_6.jpg,sad,2025-06-26 16:53:22
anyes_6.jpg,neutral,2025-06-26 16:53:23
anyes_6.jpg,neutral,2025-06-26 16:53:24
anyes_6.jpg,neutral,2025-06-26 16:53:25
anyes_6.jpg,neutral,2025-06-26 16:53:26
anyes_6.jpg,neutral,2025-06-26 16:53:27
anyes_6.jpg,happy,2025-06-26 16:53:28
anyes_6.jpg,happy,2025-06-26 16:53:29
anyes_6.jpg,sad,2025-06-26 16:53:30
